Load, Connected KVA, Allocation Factor, Phases, kW, kvar, PF, Model
138236B0A,      0.0, 0.500, 1,      0.7,      0.2, 0.970, 1
138236B0B,      0.0, 0.500, 1,      3.2,      0.8, 0.970, 1
138237B0A,      0.0, 0.500, 1,      2.3,      0.6, 0.970, 1
138237B0B,      0.0, 0.500, 1,      3.5,      0.9, 0.970, 1
138258C0A,      0.0, 0.500, 1,      0.9,      0.2, 0.970, 1
138258C0B,      0.0, 0.500, 1,      5.2,      1.3, 0.970, 1
138259C0A,      0.0, 0.500, 1,      0.6,      0.2, 0.970, 1
138259C0B,      0.0, 0.500, 1,      5.5,      1.4, 0.970, 1
138260A0A,      0.0, 0.500, 1,      1.5,      0.4, 0.970, 1
138260A0B,      0.0, 0.500, 1,      3.9,      1.0, 0.970, 1
138262A0A,      0.0, 0.500, 1,     11.4,      2.8, 0.970, 1
138262A0B,      0.0, 0.500, 1,      6.4,      1.6, 0.970, 1
138264B0A,      0.0, 0.500, 1,      0.7,      0.2, 0.970, 1
138264B0B,      0.0, 0.500, 1,      9.0,      2.3, 0.970, 1
138265A0A,      0.0, 0.500, 1,      5.4,      1.4, 0.970, 1
138265A0B,      0.0, 0.500, 1,      3.4,      0.9, 0.970, 1
138294B0A,      0.0, 0.500, 1,      1.0,      0.2, 0.970, 1
138294B0B,      0.0, 0.500, 1,      4.9,      1.2, 0.970, 1
138313A0A,      0.0, 0.500, 1,      3.3,      0.8, 0.970, 1
138313A0B,      0.0, 0.500, 1,      0.2,      0.0, 0.970, 1
138342C0A,      0.0, 0.500, 1,      5.5,      1.4, 0.970, 1
138342C0B,      0.0, 0.500, 1,      4.7,      1.2, 0.970, 1
138343C0A,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
138343C0B,      0.0, 0.500, 1,      2.2,      0.5, 0.970, 1
138346C0A,      0.0, 0.500, 1,      0.6,      0.2, 0.970, 1
138346C0B,      0.0, 0.500, 1,      5.5,      1.4, 0.970, 1
138371C0A,      0.0, 0.500, 1,      5.2,      1.3, 0.970, 1
138371C0B,      0.0, 0.500, 1,      0.9,      0.2, 0.970, 1
138372C0A,      0.0, 0.500, 1,      3.5,      0.9, 0.970, 1
138372C0B,      0.0, 0.500, 1,      0.5,      0.1, 0.970, 1
138373C0A,      0.0, 0.500, 1,      3.1,      0.8, 0.970, 1
138373C0B,      0.0, 0.500, 1,      3.0,      0.8, 0.970, 1
138374C0A,      0.0, 0.500, 1,      1.4,      0.3, 0.970, 1
138374C0B,      0.0, 0.500, 1,      8.8,      2.2, 0.970, 1
138379C0A,      0.0, 0.500, 1,      5.5,      1.4, 0.970, 1
138379C0B,      0.0, 0.500, 1,      4.6,      1.2, 0.970, 1
138380C0A,      0.0, 0.500, 1,      2.6,      0.7, 0.970, 1
138380C0B,      0.0, 0.500, 1,      1.5,      0.4, 0.970, 1
138404C0A,      0.0, 0.500, 1,      8.3,      2.1, 0.970, 1
138404C0B,      0.0, 0.500, 1,      1.9,      0.5, 0.970, 1
138405C0A,      0.0, 0.500, 1,      8.7,      2.2, 0.970, 1
138405C0B,      0.0, 0.500, 1,      6.6,      1.6, 0.970, 1
138412C0A,      0.0, 0.500, 1,      2.5,      0.6, 0.970, 1
138412C0B,      0.0, 0.500, 1,      3.6,      0.9, 0.970, 1
138413C0A,      0.0, 0.500, 1,      4.7,      1.2, 0.970, 1
138413C0B,      0.0, 0.500, 1,      1.4,      0.4, 0.970, 1
138416C0A,      0.0, 0.500, 1,      2.0,      0.5, 0.970, 1
138416C0B,      0.0, 0.500, 1,      2.1,      0.5, 0.970, 1
138464C0A,      0.0, 0.500, 1,      2.7,      0.7, 0.970, 1
138464C0B,      0.0, 0.500, 1,      1.3,      0.3, 0.970, 1
138465C0A,      0.0, 0.500, 1,      3.9,      1.0, 0.970, 1
138465C0B,      0.0, 0.500, 1,      0.2,      0.0, 0.970, 1
138466C0A,      0.0, 0.500, 1,      8.1,      2.0, 0.970, 1
138466C0B,      0.0, 0.500, 1,      2.1,      0.5, 0.970, 1
138469C0A,      0.0, 0.500, 1,      4.0,      1.0, 0.970, 1
138469C0B,      0.0, 0.500, 1,      2.1,      0.5, 0.970, 1
138470C0A,      0.0, 0.500, 1,      2.6,      0.7, 0.970, 1
138470C0B,      0.0, 0.500, 1,      1.5,      0.4, 0.970, 1
138472C0A,      0.0, 0.500, 1,      9.4,      2.4, 0.970, 1
138472C0B,      0.0, 0.500, 1,      0.7,      0.2, 0.970, 1
138560A0A,      0.0, 0.500, 1,      4.8,      1.2, 0.970, 1
138560A0B,      0.0, 0.500, 1,      4.1,      1.0, 0.970, 1
138561A0A,      0.0, 0.500, 1,      6.5,      1.6, 0.970, 1
138561A0B,      0.0, 0.500, 1,      2.4,      0.6, 0.970, 1
138562A0A,      0.0, 0.500, 1,      6.8,      1.7, 0.970, 1
138562A0B,      0.0, 0.500, 1,      2.0,      0.5, 0.970, 1
138563A0A,      0.0, 0.500, 1,      6.4,      1.6, 0.970, 1
138563A0B,      0.0, 0.500, 1,      2.4,      0.6, 0.970, 1
138564A0A,      0.0, 0.500, 1,      7.5,      1.9, 0.970, 1
138564A0B,      0.0, 0.500, 1,      1.4,      0.3, 0.970, 1
138565A0A,      0.0, 0.500, 1,      8.4,      2.1, 0.970, 1
138565A0B,      0.0, 0.500, 1,      0.5,      0.1, 0.970, 1
138566A0A,      0.0, 0.500, 1,      8.3,      2.1, 0.970, 1
138566A0B,      0.0, 0.500, 1,      0.6,      0.1, 0.970, 1
138567A0A,      0.0, 0.500, 1,      0.5,      0.1, 0.970, 1
138567A0B,      0.0, 0.500, 1,     12.8,      3.2, 0.970, 1
138569A0A,      0.0, 0.500, 1,      3.9,      1.0, 0.970, 1
138569A0B,      0.0, 0.500, 1,      1.4,      0.4, 0.970, 1
138570A0A,      0.0, 0.500, 1,      0.6,      0.1, 0.970, 1
138570A0B,      0.0, 0.500, 1,      4.7,      1.2, 0.970, 1
138571A0A,      0.0, 0.500, 1,      1.6,      0.4, 0.970, 1
138571A0B,      0.0, 0.500, 1,      3.8,      0.9, 0.970, 1
138573A0A,      0.0, 0.500, 1,      6.4,      1.6, 0.970, 1
138573A0B,      0.0, 0.500, 1,      2.4,      0.6, 0.970, 1
138574A0A,      0.0, 0.500, 1,      5.8,      1.5, 0.970, 1
138574A0B,      0.0, 0.500, 1,      3.0,      0.8, 0.970, 1
138581A0A,      0.0, 0.500, 1,      5.4,      1.3, 0.970, 1
138581A0B,      0.0, 0.500, 1,      3.5,      0.9, 0.970, 1
138585C0A,      0.0, 0.500, 1,      0.9,      0.2, 0.970, 1
138585C0B,      0.0, 0.500, 1,      3.2,      0.8, 0.970, 1
138586C0A,      0.0, 0.500, 1,      5.9,      1.5, 0.970, 1
138586C0B,      0.0, 0.500, 1,      0.2,      0.0, 0.970, 1
138641C0A,      0.0, 0.500, 1,      0.9,      0.2, 0.970, 1
138641C0B,      0.0, 0.500, 1,      5.2,      1.3, 0.970, 1
138642A0A,      0.0, 0.500, 1,      3.7,      0.9, 0.970, 1
138642A0B,      0.0, 0.500, 1,      1.6,      0.4, 0.970, 1
138644A0A,      0.0, 0.500, 1,      4.5,      1.1, 0.970, 1
138644A0B,      0.0, 0.500, 1,      4.4,      1.1, 0.970, 1
138645B0A,      0.0, 0.500, 1,      3.9,      1.0, 0.970, 1
138645B0B,      0.0, 0.500, 1,      2.0,      0.5, 0.970, 1
138646A0A,      0.0, 0.500, 1,      2.1,      0.5, 0.970, 1
138646A0B,      0.0, 0.500, 1,      1.4,      0.4, 0.970, 1
138647C0A,      0.0, 0.500, 1,      6.1,      1.5, 0.970, 1
138647C0B,      0.0, 0.500, 1,      0.0,      0.0, 0.970, 1
138649A0A,      0.0, 0.500, 1,      7.7,      1.9, 0.970, 1
138649A0B,      0.0, 0.500, 1,      1.2,      0.3, 0.970, 1
138650C0A,      0.0, 0.500, 1,      0.2,      0.0, 0.970, 1
138650C0B,      0.0, 0.500, 1,      3.9,      1.0, 0.970, 1
138651C0A,      0.0, 0.500, 1,      3.7,      0.9, 0.970, 1
138651C0B,      0.0, 0.500, 1,      6.4,      1.6, 0.970, 1
138652C0A,      0.0, 0.500, 1,      4.2,      1.0, 0.970, 1
138652C0B,      0.0, 0.500, 1,     11.1,      2.8, 0.970, 1
138655A0A,      0.0, 0.500, 1,      3.0,      0.8, 0.970, 1
138655A0B,      0.0, 0.500, 1,      2.3,      0.6, 0.970, 1
138679A0A,      0.0, 0.500, 1,      3.1,      0.8, 0.970, 1
138679A0B,      0.0, 0.500, 1,      2.3,      0.6, 0.970, 1
138680A0A,      0.0, 0.500, 1,      0.7,      0.2, 0.970, 1
138680A0B,      0.0, 0.500, 1,      8.2,      2.1, 0.970, 1
138684A0A,      0.0, 0.500, 1,      3.9,      1.0, 0.970, 1
138684A0B,      0.0, 0.500, 1,      5.0,      1.2, 0.970, 1
